TITLE,CATEGORY
marylanders are advised to not travel to alabama arizona florida georgia idaho louisiana nebraska south carolina and texas ,india
temperature in antarctica may increase as much as three degrees by the end of the century according to an expert this could be the tipping point as far as the fight against global warming is concerned he added there are models about the kind of increase in temperature in 21st century in antarctica and it is suspected that the temperatures in the antarctica peninsula could increase about three degrees up to the end of this century jeronimo lopezmartinez president of the scientific committee on antarctic research scar told ians on the sidelines of the xiith international symposium on antarctic earth sciences here,environment
gajraj rao shared the video on his social media with a tweaked version of nana patekars famous dialogue from the filmfox star hindis upcoming film lootcase has been making a lot of noise for all the right reasons ever since the trailer was released as the film nears its release the makers have been sharing hilarious promos with the most recent one being gajraj raos character mla patil as uday bhai from the film welcomegajraj rao shared the video on his social media with a tweaked version of nana patekars famous dialog lootcase has a stellar star cast of kunal kemmu rasika dugal gajraj rao vijay raaz and ranvir shorey the story revolves around nandan kumar,entertainment
hyderabad vice president m venkaiah naidu on sunday called for return to the indian traditions of healthy eating and living by giving up westoriented lifestyles it was time indians made changes to their lifestyle and returned to the traditional methods of healthy living he said we need to follow the customs and practises of our forefathers and abandon westoriented lifestyles he said while speaking during the second anniversary function of the swarna bharat trusts sbt branch in hyderabadtraditional food habits and customs are not only timetested but are healthy too as they were tailormade to suit the requirements of each season and region said the vice presidentwe need to create awareness and educate the youth for adopting healthy dietary habits and lifestyle by returning to our simple but effective ways of living he saidshare and care is the core of indian philosophy vasudhaiva kutumbakam the whole world is one family sarve jana sukhino bhavanthu let everyone be happy that is this philosophy is the greatness of india he saidall tom dick and harry came and attacked us ruled us ruined us looted us and cheated us also even smaller countries but india never attacked any country venkaiah naidu saidhindu culture indianness are very tolerant it wants development of all the vice president saidhe also called on the youth to pay renewed attention to agriculture and added that natural farming with reduced use of chemical fertilisers should be promotedhe reiterated that regional languages should be protectedthere is a need to protect family values the vice president said adding our traditions and customs not only strengthen the social fabric but also create a bonding among different sections of societyunion law minister ravi shankar prasad also present on the occasion praised the sbt campus here as a worldclass institution the trust run by naidus daughter deepa v offers skilltraining courses at its hyderabad campusmr prasad recalled that venkaiah naidu promoted rural road connectivity and empowerment of gram panchayats when he was rural development ministertelangana high courts chief justice thottathil bhaskaran nair radhakrishnan was also present at the event,Lifestyle
neelam baneshan badami grapes anabeshahi cheema sahebi kishmish chorni perlette arkavati apple ,india
madhya pradesh dewas dm orders probe into self immolation by woman attack on revenue officers ,cities
diu daman and dnh residents demand legislative assembly ,cities
donations have started pouring in for the construction of ram mandir in ayodhya saints politicians businessmen and others have contributed for the construction which will begin after the foundation stone laying ceremony by prime minister narendra modi on august 5morari bapu a renowned exponent of the ramcharitmanas has announced a donation of rs 5 crore from his vyaspeeth to shri ram janmabhoomi teertha kshetra trust srjtkt for the construction of the temple in ayodhya reported hindustan timesaccording to the report the famous spiritual guru announced the donation during an online spiritual talk on july 27 his ashram in madhya pradesh’s chitrakoot will send rs 5 crore for the temple construction said bapu he also appealed devotees to contribute voluntarilypoliticians are also donating money for the construction of the temple at the ram janmabhoomi the report suggesteduttar pradesh’s deputy chief minister keshav prasad maurya visited ayodhya along with his wife on july 28 and offered prayers to lord ram at his birthplaceduring his visit the deputy cm donated rs 660 lakh to the trust on behalf of late vishwa hindu parishad vhp president ashok singhal his late guru gurujan singh and family members said the reportearlier uttar pradesh chief minister yogi adityanath had in his personal capacity donated rs 11 lakh to the trust for the temple construction the cm had made the donation on the occasion of shifting the ram lalla idol to a temporary new location on march 25the mahavir mandir trust of patna has donated the first instalment of rs two crore said the report it has announced a donation of rs 10 crore for the cause with five instalments of rs two crore each to be paid every year as per the instructions of srjtkt it addedbesides cash devotees are also donating gold and silver for the cause hyderabadbased jeweller k srinivas has donated gold brick weighing one kilogram and a fivekilogram silver brick to the trustas per the report the trust has received around rs 6 crore through online donations in the past four monthsmeanwhile the vhp has planned to reach 10 crore families across the country and collect donations ranging from re 1 to rs 10 from each for the cause added the report,politics
hazaripahad residents up in arms against country liquor shop in area ,cities
govt to bring helmets under mandatory bis regime once the process is completed only biscertified helmets for twowheeler riders would be manufactured and sold in india,business
physics space sciences anthropology archaeology area studies cultural and ethnic studies economics ,india
 new infections in ranchi  die in jamshedpur ,cities
airbus seeks to end world trade organisation dispute airline airbus has agreed with to make amendments to a repayable launch investment contracts with this move airbus said it considers itself in complete compliance with all wto rulings ,india
a royal bengal tiger in its natural habitat timely reprieve when the 1972 census put the tiger population in india at a precarious 1827 few naturalists expected the king of the jungle to survive much longer in its natural habitat however as world wildlife fund wwf president britains prince philip who himself boasts of having bagged a tiger during an earlier visit several decades ago addressed one of the largest wildlife commemoration functions ever held in india last fortnight a feeling of elation marked the completion of project tigers first decade not only had the project succeeded in diminishing the immediate threat of extinction which hung over the heads of hundreds of birds animals and flora species it had in most cases registered an increase in their wild numbers project tiger has undoubtedly been a success story on a national footing for in the short span of 10 years it has laid the foundation for a system which can not only check the slide which set in during the late 40s through to the 60s but has also registered a marked increase in mostanimal populations,environment
ashok gehlot raises horse trading questions amid rajasthan political turmoilamid rising political turmoil in the state of rajasthan sacked congress leader and former deputy chief minister in the state sachin pilot will be addressing a press conference today pilot was sacked from his posts yesterday after started a rebellion along with his support group of mlasamid rising political turmoil in the state of rajasthan sacked congress leader and former deputy chief minister in the state sachin pilot will be addressing a press conference today pilot was sacked from his posts yesterday after started a rebellion along with his support group of mlas the congress party while sacking pilot from all offices in rajasthan also left the door open for a facesaving exit from the situation for both the party as well as the young leader after they said that if sachin pilot would return to the helm he would be welcomed earlier sachin pilot and his supporters skipped the party meeting called by cm ashok gehlot raising speculations that congress could meet the same fate as they did in madhya pradesh and karnatakawhile bjp has denied any contact with sachin pilot they have not ruled out a floor test if the number game gets more complexed than it already is,politics
gender and sexuality studies geography political science psychology sociology english regional language ,india
carbon dioxide the gas that we exhale to remove toxicity from our body and the one responsible for greenhouse effect the most is at alltime high quantity in the air at least two organisations observing global climatic patterns and variations have reported highest amount of carbon dioxide in the atmosphere for the month of may according to the national oceanic and atmospheric administration the amount of carbon dioxide in the air was 41125 parts per million the scripps institution of oceanography measured carbon dioxide at 41135 this is the highest monthly level ever recorded by scientists,environment
admission test  clat  all india law entrance test  ailet  medical national eligibility cum entrance test  neet  ,india
eiduladha is here and its time to celebrate in joy as social gatherings have been restricted you can celebrate at home with your loved ones while you deck up in your favourite ethnic outfits complement your look with flattering beauty looks to give you some makeup goals were taking inspiration from bollywood divas heres a look at five makeup looks you can try on eid 2020for a minimalistic beauty look take inspiration from kareena kapoor khan the actress sported a freshfaced look with glossy lips highlighted cheeks and smudged kohlone of the easiest ways to make a statement is with a bold liner take inspiration from malaika aroras graphic blue wing eyeyou can also try a freshfaced look like alia bhatt with her pink sari drape she sported black kohled eyes with a pink lip colourtake inspiration from kriti sanon to pull off bold eye makeup you can match your outfits colour with your eye makeup just like the stunnerbe it a sari or a lehenga you can always complement your outfit with a bold lip colour we love how aishwarya rai makes a statement with a bright red lip colour,Lifestyle
switzerland is a global leader in sustainable tourism the swiss have always been sensitive towards their environment and hence the news that switzerland is a global leader in sustainability should come as no surprise their understanding of the need to conserve and protect these natural resources reflects in their practices across sectors including tourism sustainable travel has been gaining a lot of popularity ,india
players need to grab opportunities provided by isl says jeje lalpekhlua india striker jeje lalpekhlua believes the indian super league isl has done whatever it could to promote football in the country and it is now up to the players to take the league in india forwardthe isl launched in 2014 is now indias premier football league from the previous season onwards the league winners are awarded a direct group stage spot in the afc champions league acl asias marquee club football tournament  a first for indian footballcompared to our time back in 20072008 when i turned professional we never got such facilities like it is now in the isl now things have changed players are very important to take indian football to the next level now players now are very lucky to get these opportunities they need to grab these with both hands and make use of it lalpekhlua told isl mediamuch before the acl berth the asian football confederation afc first accorded the isl with an afc cup playoff spot in 2018 chennaiyins lalpekhlua was incidentally the first player to score for an isl club in asian competition against sri lankas colombo fceven the standards of youth development in indian football has risen with various isl clubs implementing grassroots programs along with the recentlylaunched isl childrens league feels the 29yearold lalpekhluain my career the first proper coaching i got was when i was 17 years old if i had gotten the coaching earlier like when i was 78 years old surely i could have got much better as a footballer if they youngsters work hard everything will fall into place but mainly it is up to them to make a career he saidthe mizo sniper has resumed balltraining after recuperating from knee surgery and is in talks with various clubs after the end of his chennaiyin contract the 202021 isl season will kick off in the third week of november in a single venue under a biosecure bubble,sports
baloch and sindhi separatist groups in pakistan have announced they are forming an alliance aimed ostensibly at attacking chinese interests in a development likely increase security costs for belt and road initiative projects in pakistan on july 25 baloch raji ajoi sangar or bras a consortium of four baloch separatist organizations announced in a media release an alliance with the sindudesh revolutionary army or sra a little known separatist group operating in southeastern sindh province balochistan is another province in the southwest òsindh and balochistan are equally affected by the ôexpansionistõ and ôoppressiveõ resolves of chinaó the statement said òthrough the china pakistan economic corridor cpec china aims to subjugate sindh and balochistan and occupy the coasts and resources from badin to gwadaró the statement added referring to a pair of coastal cities,defence
a45yearold man who allegedly thrashed his wife to death and then dumped the body in a farmland two days ago was arrested here on wednesday police said the couple who hailed from purnea district in bihar lived in noida in a rented accommodation in mangrauli village under expressway police station limits they would often get into arguments and have fights due to the husbands alcoholism the police said “uttam lal alias gulccha a daily wage earner was drunk on the night of july 27 when he reached home a fight broke out between the couple and an enraged gulccha hit his wife with his hands leading to a severe injury in her head and she collapsed” sho expressway yogesh malik told pti “he then carried her body to a desolate farmland and dumped the body there” malik said an fir was lodged in the case under indian penal code sections 302 murder and 201 causing disappearance of evidence and the accused arrested on wednesday the police said the accused was produced in a local court which remanded him in 14day judicial custody the police added,Legal
evander holyfield open to third fight with mike tyson for charity former heavyweight champion evander holyfield has said he is open to facing onetime rival mike tyson in a trilogy fight for charity on the condition that tyson asks for the bout to be set uptyson 53 fought two epic bouts with holyfield 57 during their professional careers including their controversial 1997 encounter in which tyson bit off a chunk of holyfields,sports
kolkata night restrictions at nimtolla ghat to stop spread of covid ,cities
first gvk lounge launched at mumbai t gvk chhatrapati shivaji international airports csia terminal t opened its all new luxury lounge ,india
vidwat parishad team to take puja items to ayodhyanoida day after factory collapse owner held for negligence ,cities
poovan guava l allahabad safeda banarasi chittidar harijha papayacoorg honey dew pusa dwarf pusa giant ,india
hdfc banks shares surge nearly 5 on rbi nod to sashidhar jagdishans appointment as new ceo hdfc banks shares surged nearly 5 percent on tuesday after the reserve bank of india approved the name of sashidhar jagdishan for the post of chief executive officer said sources to cnbctv18 the stock gained as much as 469 percent to rs 104915 per share on the nse hdfc bank received the letter from the central bank last night shashidhar jagdishan is currently an additional director and head of finance hr at hdfc bank he was the banks top choice among 3 shortlisted candidates the bank had recommended shashidhar jagdishan kaizad bharucha and sunil gargs names for the post,business
dry dates soft  khazur chhohara pineapple guava orange oranges mandarins lemon lemons grapefruit ,india
gold price above rs 54000 per 10 gram silver rs 65717 per kg get latest update on daily spot gold prices currency exchange rates and other precious metal rates in india spot gold prices in indiars 535100 have increased since yesterdayrs 535000 also it was above the average gold price observed this week rs 528100 by 133 the spot gold prices in indiars535100 witnessed a growth of 002 despite global gold prices19735 saw a drop of 012 global spot prices dropped doen as per the current close with a value of 19735 per troy ounce the total downturn being of 012 this price level is 663 higher than average gold price observed in the past 30 days 18426 among other precious metals silver prices saw a fall today silver plunged 054 to 243 per troy ouncefurther platinum price has suffered the precious metal platinum fell 017 to 9050 per troy ounce meanwhile in india gold was priced at rs 535750 per 10 gram on mcx with a change of rs 536 also the price of 24k gold in the indian spot market was quoted at rs 535100 ,business
andhra pradesh death toll in prakasam district sanitiser incident now  ,cities
w series could support more f1 races next year the allfemale w series could support more formula one grands prix next year than the two american rounds already announced and has backup plans in the event of a split from the german touring car championship dtmthe series has cancelled its second season but is working towards a return in 2021 with races on the us and mexican formula one grand prix we are speaking to a number of series at the moment series founder and chief executive catherine bond muir told reporters on wednesday when asked about next years calendarour desire is to race internationally and as wide geographically as we possibly canformula one with races in asia the middle east and europe as well as the americas fits the billbond muir said w series definitely wanted to race in asia but there was more certainty well be there in 2022 than 2021organisers of the australian grand prix a governmentfunded event expressed interest in the series featuring on their programme already last yearthe dtm is facing an uncertain future with audi departing at the end of this year and mercedes and aston martin already gone leaving only bmwdtm chief gerhard berger told red bulls servustv this month that if no german manufacturers supported the platform then it might have to be wound upmaybe we would do our own races were just working through the economics of that at the moment said bond muirwe would love to continue the partnership with dtm but if it doesnt we have backup plansbond muir said w series whose first champion jamie chadwick is racing in the european formula three regional championship this year needed to get dates in the diary for television deals to be sorted,sports
fossil fuel cia world factbook animal science social sciences exchange rate policy market concentration ,india
a while back mandiraa entertainment and vivek anand oberois oberoi mega entertainment in association with prerna v arora announced a film titled rosie the saffron chapter the makers had taken to social media to host a nationwide hunt to cast a new talent in the leading role in the filmtalking about the casting prerna says i was very particular about the casting of rosie since its a story based on true events i wanted to cast someone fresh in the titular role with a relatable vibe we had to go through numerous auditions before we found a perfect rosie in palak vivek ji has been very supportive throughout the process hes believed in my conviction on the casting and agreed with my decisionthere are many firsts attached to this film our first franchise our first film based on true events and more and now its palak who weve signed for her first role after going through all auditions all of us were unanimous and very sure of her palak not only fit the role but she also added more personality to rosie thats going to stay with the audience,entertainment
badrinath temples prasad can be bought online ,cities
eight people including five women were detained briefly on sunday when they staged an anticaa protest here by drawing kolams rangoli police said opposition dmk hit out at the aiadmk government for the police action saying the detained persons were only excercising their right to protest the eight were picked up for holding the protest without permission and causing inconvenience to others a senior police official said adding they were later let off the eight were picked up for holding the protest without permission and causing inconvenience to others a senior police official said adding they were later let off protests against the citizenship amendment act are continuing in several parts of tamil nadu by political parties and civil society groups for the past several days,Legal
delhis iconic chandni chowk gets a massive facelift all set to welcome visitors from november those who love eating shopping or just meandering in old delhis messy lanes chandni chowk is a favourite ,india
for the very first time huawei leaves behind samsung in global smartphone shipments in the second quarter of 2020 according to the latest report coming from canalys the chinese smartphone manufacturer shipped more smartphones worldwide than any other company for the first time in nine yearsit also marks the first quarter in nine years that a smartphone manufacturer other than samsung or apple has led the marketin the quarter huawei shipped 558 million units although down 5 per cent year on year followed by samsung that shipped 537 million smartphones a 30 per cent fall compared to quarter two 2019the report suggests that huawei has grown to dominate its domestic market by boosting its chinese shipments by 8 per cent in the second quarter the company now sells over 70 per cent of its smartphones in mainland china“china has emerged strongest from the coronavirus pandemic with factories reopened economic development continuing and tight controls on new outbreaks” the report statednotably huawei is still subject to us government restrictions which have stifled its business outside of mainland china the company’s overseas shipments fell 27 per cent in the quartercanalys senior analyst ben stanton said “this is a remarkable result that few people would have predicted a year ago” “if it wasn’t for covid19 it wouldn’t have happened huawei has taken full advantage of the chinese economic recovery to reignite its smartphone business samsung has a very small presence in china with less than 1 per cent market share and has seen its core markets such as brazil india the united states and europe ravaged by outbreaks and subsequent lockdowns” stanton added“taking first place is very important for huawei” said canalys analyst mo jia“it is desperate to showcase its brand strength to domestic consumers component suppliers and developers it needs to convince them to invest and will broadcast the message of its success far and wide in the coming months but it will be hard for huawei to maintain its lead in the long term its major channel partners in key regions such as europe are increasingly wary of ranging huawei devices taking on fewer models and bringing in new brands to reduce risk strength in china alone will not be enough to sustain huawei at the top once the global economy starts to recover” jia added,science and tech
viswanathan anand suffers sixth consecutive defeat in legends of chess tourney ian nepomniachtchi of russia won the decisive tiebreak in 41 moves to shatter the hopes of the 50year old indian superstar and left him winless after six rounds former world champion viswanathan anand’s struggles continued in the usd 150000 legends of chess online tournament as he suffered his sixth consecutive defeat with a 23 loss to ian nepomniachtchi of russiaanand started the sixth round match with a draw as he came up with good defensive moves to keep the russian at bay in a 53move draw however nepomniachtchi went ahead by pulling off a 34move win in the second game the third saw the players sign peace after 48 movesthe fivetime world champion then fought back well to claim the fourth game in 42 moves to push the contest into the armageddon a tiebreakernepomniachtchi won the decisive tiebreak in 41 moves to shatter the hopes of the 50year old indian superstar and left him winless after six roundsworld champion magnus carlen continued his winning run and tops the standings with 17 match points nepomniachtchi is second on 16 followed by compatriot vladimir karmnik 12anand who is making his debut on the magnus carlsen tour lies ninth with three pointslegends of chess is a unique event where carlsen ding liren nepomniachtchi and anish giri semifinalists at the chessable masters part of the magnus carlsen tour received an automatic invite and are up against six legends aged 4052 who have been at the top of world chess at various points in their career,sports
spicejet to operate its first long haul flight from amsterdam on aug  special international charter flights are permitted on a case to case basis by the aviation regulator dgca ,india
dipan mehta director at elixir equities on banks these private sector banks like hdfc bank and kotak mahindra bank have been great value creators and every time you have bought them in distressed times like these you have made spectacular gains threefive years down the line from that point of view if your outlook and vision is to hold the stock for a longer period of time like twothree years or so then hdfc and kotak are good buys at this point of time if you don’t have them in your portfolio there is a great deal of uncertainty as far as the entire banking sector and nbfcs are concerned which is why investors want to be a little bit light in that particular industry because one doesn’t know that post moratorium what the npas will come up you may have lot of shortterm uncertainty but if you have a longerterm view these banks and maybe a couple of nbfcs offer a great longterm investing opportunity,business
there are 22 fast bowlers in pakistan’s 20member squad shoaib akhtar slams pak’s team selection for englandpakistan will play their first test at old trafford in manchester on wednesday august 5former cricketer shoaib akhtar expressed his surprise by the number of pacers included in the 20member squad for the upcoming threematch test series against englandwhile speaking on a local news channel the former speedster said that he is unaware of the approach pakistan team management will take in their selection for the first test“they have announced a 20member squad in those twenty there are around 22 fast bowlers let us see whom they select depends on the captain and the management with which mindset they go in” said akhtar“what they want and how the pitch is how management sees the whole scenario zero idea what they are going to do when the team list comes you will come to know the exact mindset they are going in with so far as we know right now nothing” cricket pakistan quoted him as saying“if you lose the test match because of wrong selection then there will be strong criticism if 40 players have gone and from there also you don’t get a proper test squad then what can you do i feel sorry for the management but they should pick their best xi” he saidpakistan will play their first test at old trafford in manchester on wednesday august 5 the final two tests will be played at the rose bowl southampton from thursday august 13 and friday august 21,sports
segura sancho appointed costa rica minister of tourism tourism the president of costa rica carlos alvarado quesada has appointed gustavo segura sancho to the role of minister of tourism he will also step up as executive president of the costa rica tourism board ,india
panjab university not to hold exams ,cities
eid aladha bakrid 2020 date wishes images quotes also known as the ‘festival of sacrifice’ eid aladha or bakrid is an important festival celebrated by the muslim community in india and around the world this year it starts july 30 and ends on july 31 in the evening the festival is also referred to as eid qurban or qurban bayarami it is said that the festival is one of the two most popular and significant islamic holidays celebrated worldwide — the first one is eid alfitr which is also known as eid or ramadan eidabout eid aladhait is observed on the tenth day of the dhu alhijjah which is the twelfth month as per the islamic calendar it is one of the most sacred months during which the haj pilgrimage also takes place since dhu alhijjah literally means the ‘month of pilgrimage’ while saudi arabia has announced july 31 as the date of eid aladha the shahi imam of delhi’s jama masjid has said it will be celebrated in india a day later on august 1the legend of bakrid goes like this islamic prophet ibrahim was having recurring dreams wherein he saw himself sacrificing his son ismael to appease allah when he shared his dreams with his son the latter told him that if it is god’s will then it must be done but before the sacrifice could happen god — pleased with the duo’s absolute devotion — sent jibreel an angel to them who told them to sacrifice a lamb insteadsignificancetill date the festival honours the willingness of ibrahim and his son and their devotion to allah so as per traditions muslims across the globe sacrifice a goat or a sheep and then a part of the meal is distributed among the needy and the poor it is essentially about giving back to the society,Lifestyle
the indian air force iaf has much to cheer with the arrival of five rafale omnirole fighter jets in terms of the technology and capability accretion that it brings in the words of the air chief marshal acm rks bhadauria and former acm bs dhanoa rafale is a ògame changeró encapsulating what the rafales bring in acm bhadauria said in february that at the time of the kargil conflict in 1999 india had an edge over pakistan in terms of beyond visual range bvr missile capability òwe allowed that to slip and thereafter it took a decadeandahalf of struggle in the acquisition process to be able to get better capabilityó he said the rafale armed with the meteor bvr airtoair missile will restore that edge in the neighbourhood as there is no equivalent to it,defence
aiims mbbs jipmer mbbs defense service indian maritime university common entrance test  imu cet  ,india
rosewood hotels  resorts has been appointed by shanghaibased property development company lonsen land group to manage rosewood shanghai ,india
ssp chawrasia hoping to play on european tour next month it is more than four months that kolkata professional ssp chawrasia has not been able to take part in a competitive eventchawrasia who last played in qatar on the european tour in early march is chalking out plans to be back on the course on the european tour next month“my plan is to play on the european tour from the middle of next month in the united kingdom” said chawrasia on fridayanother indian ace golfer shubhakar sharma will be heading to england next week to take part in an european tour event in birminghamchawrasia’s aim is to play about four events on what is being called the uk swing however his plan of action is still not confirmed because it all depends on the availability of flights to reach england he is right now busy figuring out the flight schedules and ascertaining the best route to avail the journey to englandchawrasia a fourtime winner on the european tour is hoping that everything falls in place and that he will be able to get back to tournament mode again“i am really looking forward to playing in a tournament again the excitement is there however the main thing right now is the availability of flights and which route to take at the same time the concern over the virus is also there let’s see what happens” added chawrasia “the good thing is that the royal calcutta golf club is open and i have been practicing there”,sports
taarak mehta ka ooltah chashmah is one of those shows that never had any haters it has given us so many memorable scenes and characters and is undoubtedly one of the most loved shows in fact fans still love watching all the repeat episodes of the show it will soon complete 12 years but the show has maintained its charm all this while and remains the favourite of many it’s no wonder that it is the longestrunning show on television the show has always done good on the trp charts and has received copious love from the audience we too have been a fan of each and every character on the show whether it is nattu kaka or daya ben they have all become a part of our lives,entertainment
covid day lockdown begins in nagalands dimapur district ,cities
air france klm has reported a  billion loss for the second quarter as the covid continues to take a huge toll on the global aviation sector ,india
from the first flight in 2001 till the formation of the first squadron in 2016 lcatejas mk1 program has been for long ridiculed for its slow pace of development and 15 years from first flight to the first squadron has often been due to long developmental and testing cycle which many aviation experts felt was prolonged due to higher safety issues and lack of experience in moving from prototype stage to production stage of the program but thatõs about to change for successor tejas mk2 program,defence
anand loses to svidler carlsen cruises past anish fivetime world champion viswanathan anand went down to russian gm peter svidler in the opening round of the chess24 legends of chess supertournament anand 50 and eighttime russian champ svidler drew three games in a row before the former blundered in the final game to hand his opponent victorymeanwhile reigning world champion magnus carlsen battered his rival anish giri the netherlands number 1 carlsen won the second and fourth games to post a 31 scorein his interview afterward carlsen,sports
four men arrested for smuggling tusks in tn ,cities
raipur thermal screening must at checkposts in jayashankar bhupalpally district ,cities
delhi mumbai top domestic travel destinations in  wego wego travel search site has shared the companys top five most popular searches for  as well as their regional market observation ,india
himachal pradesh illegal mining destroying beas ,cities
floods resulting from increases in heavy precipitation events or from snowmelt can cause combined sewer overflow systems which are designed to discharge excess wastewater when under extreme duress to overflow more often into nearby lakes rivers or other bodies of water causing water quality challenges in these typically urban areas flooding of industrial areas or agricultural chemical storage locations can cause chemicals to move into nearby watersheds also degrading water quality and even contaminating some residential areas low water levels due to drought can also contribute to deteriorated water quality,environment
ap relaxes curbs on interstate movement ,cities
exam the indian institute of foreign trade nmat graduate management admission council  gmac  ceed iit  ,india
the congress in manipur submitted a notice for a noconfidence motion against the bjpled coalition government in the state congress legislators k meghachandra and th lokeshwar submitted the notice to the assembly secretarymanipur congress spokesperson ningombam bupenda meitei said the party was confident that the house will take up the noconfidence motion during the monsoon session on august 10the congress has been targeting the manipur government over what the party called its failure to hand over a 2018 drug haul case to the central bureau of investigationthounaojam brinda additional superintendent of police narcotic and affairs of border nab had in june 2018 recovered a consignment of contraband drugs and old currencies from the official quarter of lukhosei zou chairman of autonomous district council adc chandel district of manipurin her affidavit submitted before the manipur high court recently she had alleged that chief minister n biren singh had pressured her to release zhouthe chief minister has denied the allegationsthe woman police officers affidavit was published in two local newspaper on july 14 following which an criminal contempt case was lodged against themthe state congress unit had on july 15 demanded a cbi probe into the case meghachandra said that the submission of the noconfidence motion was also in consideration of the fir lodged against the two local media houses which had published the officers affidavitlokeshwar also urged all to support their causeafter failed attempts to dislodge the biren singh government following the resignation of nine ruling coalition legislators including four ministers belonging to national peoples party npp the congress is trying to put the manipur government on the mat on the drug haul casethe manipur political crisis triggered by the resignations was later resolved after intervention of union home minister amit shah and bjp president j p naddathe four npp ministers returned to the cabinet subsequently,politics
kufri sindhuri kufri chandramukhi kufri badshah kufri bahar tomato vaishali rupali rashmi rajni pusa ,india
apple tops saudi aramco as most valuable publicly listed companywith friday’s stock gain apple’s has surged about 45 year to date with investors betting that it and other major us technology companies will emerge from the coronavirus pandemic stronger than smaller rivals apple inc’s surged over 10 to a record high on friday after reporting blockbuster quarterly results helping the iphone maker eclipse saudi aramco to become the world’s most valuable publicly listed companyapple’s stock ended the session at 42504 putting its market capitalization at 182 trillion according to the share count provided by apple in a regulatory filing on fridayit was apple’s largest oneday percentage gain since march 13 and it added 172 billion in market capitalization during the session greater than the entire stock market value of oracle corpsaudi aramco which had been the most valuable publicly listed company since going public last year had a market capitalization of 1760 trillion as of its last close according to refinitiv dataafter apple bought back 16 billion worth of shares in the june quarter it had 4275634000 outstanding shares as of july 17 according to the filingwith friday’s stock gain apple’s has surged about 45 year to date with investors betting that it and other major us technology companies will emerge from the coronavirus pandemic stronger than smaller rivals,business
priyanka gandhi calls for rethink on b ed entrance exam amid rapid spread of covid19there have been coronavirus cases in different educational institutions and in such a situation it does not seem appropriate to put 45 lakh students at risk without assessing their safety she saidcongress leader priyanka gandhi vadra on tuesday urged the uttar pradesh government to have a rethink on holding b ed entrance examination on august 9 in wake of the rapid rise in covid19 casesthere have been coronavirus cases in different educational institutions and in such a situation it does not seem appropriate to put 45 lakh students at risk without assessing their safety she saidb ed entrance examination is going to be held on august 9 in up the speed of coronavirus spread in the state is increasing rapidly the congress general secretary said in a facebook postthe up government is requested that keeping in mind the prevailing circumstances a rethink should be done over the schedule of the examination priyanka gandhi said,politics
admission admissions jnu jamia  iit madras          nirf rank   iit delhi nirf rank iit bombay          nirf rank   iit kanpur,india
delhi schools to remain shut till august  ,cities
arvind kejriwal to announce initiatives to revive delhis economy in next few days say officialskejriwal has received several suggestions from economists and representatives from trade and indutry for economic revival an official saidnew delhi delhi chief minister arvind kejriwal is likely to announce a series of initiatives in the next few days as the aap government is chalking out a detailed plan to revive the citys lockdownhit economy officials said on sundaythe chief minister has received several suggestions from economists and representatives from trade and industry for economic revival of the national capital an official saidthe official said as the covid19 situation is improving in delhi focus will now be on getting the economy and peoples livelihood back on trackearlier in the day labour and employment minister gopal rai said the aap government will launch a special programme to generate more employment opportunities in the cityrai also said as part of the special programme kejriwal will also launch a job portal in the next few days where the companies looking to hire people and job seekers can register themselvesrecently the city government had formed a 12member expert panel to explore measures for economic reform in order to help businesses recover from the impact of covid19the panel is carrying out a comprehensive analysis and putting forward suggestions regarding measures that should be initiated by various departments autonomous bodies local bodies and the municipal corporations to help people and businesses during the pandemic,politics
jon rahm wins pga memorial to seize world number one ranking jon rahm became the first spaniard since seve ballesteros in 1989 to hold golfs world number one ranking fending off a late challenge sunday to win the us pga memorial tournamentrahm holed out an amazing 31foot chip shot at the par3 16th and despite a twostroke penalty that turned it from a birdie to a bogey took a threestroke victory over american ryan palmer that boosted him over rory mcilroy atop the rankings,sports
lovenia which seeks to brand itself as one of the greenest and safest countries in europe has reopened to british travellers travellers can now visit without quarantining on arrival or when touching down back in the ukslovenia which seeks to brand itself as one of the greenest and safest countries in europe has reopened to british travellers travellers can now visit without quarantining on arrival or when touching down back in the uk ,india
qatar interested in bidding for 2032 olympics paralympicsqatar is turning its focus to bringing the olympics games to the middle east for the first time as it prepares to host the region’s first fifa world cup in 2022qatar is keen on on hosting the 2032 olympic and paralympic gamesthe gasrich persian gulf nation has expressed an interest in hosting the world’s biggest sporting events in a letter to the international olympic committeeqatar is turning its focus to bringing the summer games to the middle east for the first time as it prepares to host the region’s first world cup in 2022“today’s announcement marks the beginning of a meaningful dialogue with the ioc’s future host commission to explore our interest further and identify how the olympic games can support qatar’s longterm development goals” sheikh joaan bin hamad bin khalifa althani president of the qatar olympic committee said in a statement“for many years sport has been a major contributor to our nation’s development … it is this proven trackrecord and wealth of experience along with our desire to use sport to promote peace and cultural exchange that will form the basis of our discussions with the commission”an interest in bidding for the olympics comes as qatar continues to face corruption allegations over how it won the rights to host the world cup in a fifa vote in december 2010in april american prosecutors revealed new details of alleged bribes paid to fifa executive committee members to gain their votes,sports
